name,abbrev,clean_name,clean_abbrev,team,player_id
Alec Burleson,A. Burleson,Alec Burleson,A. Burleson,Cardinals,676475
Andre Pallante,A. Pallante,Andre Pallante,A. Pallante,Cardinals,669467
Brendan Donovan,B. Donovan,Brendan Donovan,B. Donovan,Cardinals,680977
Erick Fedde,E. Fedde,Erick Fedde,E. Fedde,Cardinals,607200
Iván Herrera,I. Herrera,Ivan Herrera,I. Herrera,Cardinals,671056
JoJo Romero,J. Romero,JoJo Romero,J. Romero,Cardinals,668941
John King,J. King,John King,J. King,Cardinals,667463
Jose Barrero,J. Barrero,Jose Barrero,J. Barrero,Cardinals,676480
Kyle Leahy,K. Leahy,Kyle Leahy,K. Leahy,Cardinals,681517
Lars Nootbaar,L. Nootbaar,Lars Nootbaar,L. Nootbaar,Cardinals,663457
Masyn Winn,M. Winn,Masyn Winn,M. Winn,Cardinals,691026
Matt Svanson,M. Svanson,Matt Svanson,M. Svanson,Cardinals,694335
Matthew Liberatore,M. Liberatore,Matthew Liberatore,M. Liberatore,Cardinals,669461
Miles Mikolas,M. Mikolas,Miles Mikolas,M. Mikolas,Cardinals,571945
Nolan Arenado,N. Arenado,Nolan Arenado,N. Arenado,Cardinals,571448
Nolan Gorman,N. Gorman,Nolan Gorman,N. Gorman,Cardinals,669357
Pedro Pagés,P. Pagés,Pedro Pages,P. Pages,Cardinals,817887
Phil Maton,P. Maton,Phil Maton,P. Maton,Cardinals,664208
Roddery Muñoz,R. Muñoz,Roddery Munoz,R. Munoz,Cardinals,682610
Ryan Helsley,R. Helsley,Ryan Helsley,R. Helsley,Cardinals,664854
Ryan Vilade,R. Vilade,Ryan Vilade,R. Vilade,Cardinals,668723
Sonny Gray,S. Gray,Sonny Gray,S. Gray,Cardinals,543243
Steven Matz,S. Matz,Steven Matz,S. Matz,Cardinals,571927
Victor Scott,V. Scott,Victor Scott,V. Scott,Cardinals,687363
Willson Contreras,W. Contreras,Willson Contreras,W. Contreras,Cardinals,575929
Yohel Pozo,Y. Pozo,Yohel Pozo,Y. Pozo,Cardinals,650968
Adolis García,A. García,Adolis Garcia,A. Garcia,Rangers,666969
Alejandro Osuna,A. Osuna,Alejandro Osuna,A. Osuna,Rangers,696030
Caleb Boushley,C. Boushley,Caleb Boushley,C. Boushley,Rangers,676961
Chris Martin,C. Martin,Chris Martin,C. Martin,Rangers,455119
Cole Winn,C. Winn,Cole Winn,C. Winn,Rangers,668390
Corey Seager,C. Seager,Corey Seager,C. Seager,Rangers,608369
Evan Carter,E. Carter,Evan Carter,E. Carter,Rangers,694497
Ezequiel Duran,E. Duran,Ezequiel Duran,E. Duran,Rangers,677649
Hoby Milner,H. Milner,Hoby Milner,H. Milner,Rangers,571948
Jack Leiter,J. Leiter,Jack Leiter,J. Leiter,Rangers,683004
Jacob Latz,J. Latz,Jacob Latz,J. Latz,Rangers,656641
Jacob Webb,J. Webb,Jacob Webb,J. Webb,Rangers,657097
Jacob deGrom,J. deGrom,Jacob deGrom,J. deGrom,Rangers,594798
Jake Burger,J. Burger,Jake Burger,J. Burger,Rangers,669394
Jonah Heim,J. Heim,Jonah Heim,J. Heim,Rangers,641680
Josh Jung,J. Jung,Josh Jung,J. Jung,Rangers,673962
Josh Smith,J. Smith,Josh Smith,J. Smith,Rangers,605479
Kyle Higashioka,K. Higashioka,Kyle Higashioka,K. Higashioka,Rangers,543309
Luke Jackson,L. Jackson,Luke Jackson,L. Jackson,Rangers,592426
Marcus Semien,M. Semien,Marcus Semien,M. Semien,Rangers,543760
Patrick Corbin,P. Corbin,Patrick Corbin,P. Corbin,Rangers,571578
Robert Garcia,R. Garcia,Robert Garcia,R. Garcia,Rangers,676395
Sam Haggerty,S. Haggerty,Sam Haggerty,S. Haggerty,Rangers,664059
Shawn Armstrong,S. Armstrong,Shawn Armstrong,S. Armstrong,Rangers,542888
Tyler Mahle,T. Mahle,Tyler Mahle,T. Mahle,Rangers,641816
Wyatt Langford,W. Langford,Wyatt Langford,W. Langford,Rangers,694671
Adrian Houser,A. Houser,Adrian Houser,A. Houser,White Sox,605288
Andrew Benintendi,A. Benintendi,Andrew Benintendi,A. Benintendi,White Sox,643217
Austin Slater,A. Slater,Austin Slater,A. Slater,White Sox,596103
Brandon Eisert,B. Eisert,Brandon Eisert,B. Eisert,White Sox,685126
Bryse Wilson,B. Wilson,Bryse Wilson,B. Wilson,White Sox,669060
Cam Booser,C. Booser,Cam Booser,C. Booser,White Sox,592155
Chase Meidroth,C. Meidroth,Chase Meidroth,C. Meidroth,White Sox,805367
Dan Altavilla,D. Altavilla,Dan Altavilla,D. Altavilla,White Sox,656186
Davis Martin,D. Martin,Davis Martin,D. Martin,White Sox,663436
Edgar Quero,E. Quero,Edgar Quero,E. Quero,White Sox,700337
Jared Shuster,J. Shuster,Jared Shuster,J. Shuster,White Sox,694363
Jordan Leasure,J. Leasure,Jordan Leasure,J. Leasure,White Sox,673929
Josh Rojas,J. Rojas,Josh Rojas,J. Rojas,White Sox,668942
Joshua Palacios,J. Palacios,Joshua Palacios,J. Palacios,White Sox,641943
Kyle Teel,K. Teel,Kyle Teel,K. Teel,White Sox,667725
Luis Robert,L. Robert,Luis Robert,L. Robert,White Sox,673357
Michael Taylor,M. Taylor,Michael Taylor,M. Taylor,White Sox,572191
Miguel Vargas,M. Vargas,Miguel Vargas,M. Vargas,White Sox,678246
Mike Tauchman,M. Tauchman,Mike Tauchman,M. Tauchman,White Sox,643565
Mike Vasil,M. Vasil,Mike Vasil,M. Vasil,White Sox,678024
Owen White,O. White,Owen White,O. White,White Sox,669391
Sean Burke,S. Burke,Sean Burke,S. Burke,White Sox,680732
Shane Smith,S. Smith,Shane Smith,S. Smith,White Sox,681343
Steven Wilson,S. Wilson,Steven Wilson,S. Wilson,White Sox,621051
Tim Elko,T. Elko,Tim Elko,T. Elko,White Sox,671284
Vinny Capra,V. Capra,Vinny Capra,V. Capra,White Sox,681962
Adley Rutschman,A. Rutschman,Adley Rutschman,A. Rutschman,Orioles,668939
Andrew Kittredge,A. Kittredge,Andrew Kittredge,A. Kittredge,Orioles,552640
Bryan Baker,B. Baker,Bryan Baker,B. Baker,Orioles,641329
Cade Povich,C. Povich,Cade Povich,C. Povich,Orioles,700249
Charlie Morton,C. Morton,Charlie Morton,C. Morton,Orioles,119424
Coby Mayo,C. Mayo,Coby Mayo,C. Mayo,Orioles,691723
Colton Cowser,C. Cowser,Colton Cowser,C. Cowser,Orioles,681297
Dean Kremer,D. Kremer,Dean Kremer,D. Kremer,Orioles,665152
Dylan Carlson,D. Carlson,Dylan Carlson,D. Carlson,Orioles,666185
Emmanuel Rivera,E. Rivera,Emmanuel Rivera,E. Rivera,Orioles,656896
Félix Bautista,F. Bautista,Felix Bautista,F. Bautista,Orioles,642585
Gregory Soto,G. Soto,Gregory Soto,G. Soto,Orioles,642397
Gunnar Henderson,G. Henderson,Gunnar Henderson,G. Henderson,Orioles,683002
Heston Kjerstad,H. Kjerstad,Heston Kjerstad,H. Kjerstad,Orioles,677008
Jackson Holliday,J. Holliday,Jackson Holliday,J. Holliday,Orioles,702616
Jorge Mateo,J. Mateo,Jorge Mateo,J. Mateo,Orioles,622761
Keegan Akin,K. Akin,Keegan Akin,K. Akin,Orioles,669211
Matt Bowman,M. Bowman,Matt Bowman,M. Bowman,Orioles,621199
Maverick Handley,M. Handley,Maverick Handley,M. Handley,Orioles,668974
Ramón Laureano,R. Laureano,Ramon Laureano,R. Laureano,Orioles,657656
Ramón Urías,R. Urías,Ramon Urias,R. Urias,Orioles,602104
Ryan O'Hearn,R. O'Hearn,Ryan O'Hearn,R. O'Hearn,Orioles,656811
Seranthony Domínguez,S. Domínguez,Seranthony Dominguez,S. Dominguez,Orioles,622554
Tomoyuki Sugano,T. Sugano,Tomoyuki Sugano,T. Sugano,Orioles,608372
Yennier Cano,Y. Cano,Yennier Cano,Y. Cano,Orioles,666974
